SpCode6,SpCode4,Genus,Species,Genus_species,Pepperwood.spp,SEKI.spp,SoCal.spp,Sedgwick.spp
ABICON,ABCO,Abies,concolor,Abies concolor,,A. concolor,,
ADEFAS,ADFA,Adenostoma,fasciculatum,Adenostoma fasciculatum,ADEFAS,,ADFA,
ARBMEN,ARME,Arbutus,menziesii,Arbutus menziesii,ARBMEN,,,
ARCGLA,ARGL,Arctostaphylos,glandulosa,Arctostaphylos glandulosa,,,ARGL,
ARCPAT,ARPA,Arctostaphylos,patula,Arctostaphylos patula,,A. patula,,
CALDEC,CADE,Calocedrus,decurrens,Calocedrus decurrens,,C. decurrens,,
CEACOR,CECO,Ceanothus,cordulatus,Ceanothus cordulatus,,C. cordulatus,,
CEACUN,CECU,Ceanothus,cuneatus,Ceanothus cuneatus,CEACUN,,,
CEAPAR,CEPA,Ceanothus,parryi,Ceanothus parryi,CEAPAR,,,
CEASPI,CESP,Ceanothus,spinosus,Ceanothus spinosus,,,CESP,
CERBET,CEBE,Cercocarpus,betuloides,Cercocarpus betuloides,,,CEBE,
ERIFAS,ERFA,Eriogonum,fasciculatum,Eriogonum fasciculatum,,,ERFA,
HETARB,HEAR,Heteromeles,arbutifolia,Heteromeles arbutifolia,HETARB,,HEAR,
MALLAU,MALA,Malosma,laurina,Malosma laurina,,,MALA,
PINJEF,PIJE,Pinus,jeffreyi,Pinus jeffreyi,,P. jeffreyi,,
PSEMEN,PSME,Pseudotsuga,menziesii,Pseudotsuga menziesii,PSEMEN,,,
QUEAGR,QUAG,Quercus,agrifolia,Quercus agrifolia,QUEAGR,,QUAG,live oak
QUEBER,QUBE,Quercus,berberidifolia,Quercus berberidifolia,,,QUBE,
QUEDOU,QUDO,Quercus,douglasii,Quercus douglasii,QUEDOU,,,blue oak
QUEDUR,QUDU,Quercus,durata,Quercus durata,QUEDUR,,,
QUEGAR,QUGA,Quercus,garryana,Quercus garryana,QUEGAR,,,
QUEKEL,QUKE,Quercus,kelloggii,Quercus kelloggii,QUEKEL,Q. kelloggii,,
SALLEU,SALE,Salvia,leucophylla,Salvia leucophylla,,,SALE,
SALMEL,SAME,Salvia,mellifera,Salvia mellifera,,,SAME,
UMBCAL,UMCA,Umbellularia,californica,Umbellularia californica,UMBCAL,,,