,LDMC,P12 (MPa),P50 (MPa),P88 (MPa),Pmin midday (Mpa),Pmin predawn (Mpa),Turgor loss point
Adenostoma fasciculatum,0.526,-4.128,-7.404,-11.120,-5.932,NA,NA
Arbutus menziesii,0.446,NA,NA,NA,NA,NA,NA
Arctostaphylos glandulosa,NA,-1.112,-4.502,-12.854,-5.380,-6.280,NA
Ceanothus cuneatus,0.471,-2.182,-7.585,-12.164,-7.987,-7.500,NA
Ceanothus spinosus,NA,-1.381,-4.922,-7.894,-5.573,-4.700,NA
Cercocarpus betuloides,0.495,NA,-6.615,NA,-6.800,NA,NA
Eriogonum fasciculatum,0.379,NA,NA,NA,NA,NA,NA
Heteromeles arbutifolia,0.525,-1.433,-5.800,-8.120,-5.427,NA,2.339
Malosma laurina,NA,-0.285,-1.488,-2.982,-2.258,NA,NA
Pseudotsuga menziesii,0.519,-2.119,-3.786,-4.851,-2.093,-1.235,NA
Quercus agrifolia,0.555,NA,-1.683,NA,-3.120,NA,NA
Quercus berberidifolia,NA,-0.321,-2.401,-5.203,-4.352,-3.740,NA
Quercus douglasii,0.508,NA,NA,NA,NA,NA,NA
Quercus durata,0.438,NA,NA,NA,NA,NA,NA
Salvia leucophylla,NA,-0.415,-1.659,-4.149,-4.731,NA,NA
Salvia mellifera,NA,-1.737,-4.532,-7.781,-7.558,-8.400,NA
Umbellularia californica,0.524,NA,-1.215,NA,-2.400,NA,NA